infinitive,normalized_string,pos,skill,related_lexemes,skill_url_title,gender,lexeme_id,word_string
,kind,Noun,People,['93ca86123b39f30cb4be65315203dd8e'],People,Neuter,44b59592f946f8a7855a7571eb52e8d0,kind
finden,finden,Verb,Plans 2,[],Plans-2,,8b3227ec7bf1f3cf447d7d306ac5e141,finden
,bankkauffrau,Noun,Errands,"['2cf3e8f0f535b9279501e26c2a4c23c1', '38d347b9db150a942aa52e270bf95439']",Errands,Feminine,c08f8acf0e4ec14c359f2f3a74f896af,bankkauffrau
,bankkaufmann,Noun,Errands,"['2cf3e8f0f535b9279501e26c2a4c23c1', 'c08f8acf0e4ec14c359f2f3a74f896af']",Errands,Masculine,38d347b9db150a942aa52e270bf95439,bankkaufmann
,moment,Noun,Travel 2,[],Travel-2,Masculine,2ccae45233c6bd535cc3fa3514242259,moment
,danke,Interjection,Basics 1,[],Basics-1,,df63436c59830ed1283317a0f9285cc9,danke
,geld,Noun,Plans,[],Plans,Neuter,3418ae9524716bfde19b5a8c13de710c,geld
,meiner,Determiner,On Break,"['a4605e1b04f24b08a709e693bcd6ba1a', '0aeda1a53edc7b9ffa1ef352206a3b72', 'e346bda36eb0adeb2e0c4f86ae891c6f', '5310a9a88b27244a9cdd03fe72d8aace']",On-Break,Feminine,b0fe7b83cec917524ee7930f2350105f,meiner
,ec-karte,Noun,Errands,[],Errands,Feminine,d22e651135e47b6e7128e21f0b4af0b3,ec-karte
,intelligent,Adjective,People,[],People,,5134b2c417f2e234a60a3b6dea79954d,intelligent
überweisen,uberweisen,Verb,Errands,[],Errands,,e2fa12956cfc30120d23255002ddb8a8,überweisen
,minuten,Noun,Travel,[],Travel,Feminine,6c200135e2891496482da51b9e2cbacb,minuten
,wetter,Noun,Weather,[],Weather,Neuter,06a6ce9cac193f410e4da8f1d942c560,wetter
,zoll,Noun,Travel 2,[],Travel-2,Masculine,0e922cd39934775f2601c7b8e2ff0c54,zoll
,gitarre,Noun,Hobbies 2,[],Hobbies-2,Feminine,62b89c39f4cd617ab8d70691d56d109c,gitarre
,kekse,Noun,Food,[],Food,Masculine,e910504fb9d3abe70d9cf9a107a8909e,kekse
sprechen,sprechen,Verb,Questions,"['ea1bc226d0ac8bd24dca5831429ec822', 'b29ae90d223ab56f9bbe3b8c9e917b72', 'f8e8b7e84b5f7543744650825d5415f8']",Questions,,77389fc10dd1971471d34c2036184e60,sprechen
,formulare,Noun,Errands,['5755d4476d6f2312f101fce125802f5a'],Errands,Neuter,aa0162704af837f52e8e93709ef0e13b,formulare
,wir,Pronoun,Apartment,['4652a43769a93bb77df703b88fe63957'],Apartment,,ef7dbc34c11dad1f9b1e85da664211cd,wir
,mann,Noun,Family,[],Family,Masculine,ce298aa028401573e104bb0b25d0e3b9,mann
,gibt es,,Hotel,[],Hotel,,c922d58f25d88467166eec6d607f0899,gibt es
,frage,Noun,New Job,['e6536c3c5b659750d8e087cc58712818'],New-Job,Feminine,35106ae57d9876f1212e6db991e55db9,frage
,beamtin,Noun,Family 3,[],Family-3,Feminine,0bb8a824aff53846f8ec51209f6fde6f,beamtin
,deutsch,Noun,Questions,[],Questions,Neuter,4987c6dca6835c72947210d1e517d44e,deutsch
geben,geben,Verb,Party,"['d04bb2069c5527fc8aa685fcb239461e', 'fee350a706db6d58fd9360671e6d34cc', 'ee017ef67a27281bea801fd6bcd1439d']",Party,,c9693faf5c2bda4632e5689d838f638d,geben
,wort,Noun,Errands,[],Errands,Neuter,bf29f9e139f58a3ae231715315d9d5e9,wort
,dieses,Determiner,Packing,"['9b4a06b70810c1035e3046fa387ba339', 'fd557a3f3516f8d1eb4b1466a7671206', '9e21df64419500ac06b210def7dddfb5', 'e0a7b526dfb83c6073bc73e86b83af3e', 'a1ae22b23cd5b2934d664e554046f27c']",Packing,Neuter,d418d40a89b378ca4259548a947eda8f,dieses
,was,Pronoun,Jobs,[],Jobs,,5849aa5d9a4fa4a103e17d02460e27e6,was
,da druben,Adverb,Directions,[],Directions,,a965b1665b15c07c69f1447299f6e694,da drüben
,du,Pronoun,Family,"['96dad2a0d2a63eae1f72044db85e6241', 'f5078ce94c2d3b09c6e25aef99d6ccaa']",Family,,c76b4333fe84d57cce3a1e3c4101d21b,du
,diese,Pronoun,Packing,"['9b4a06b70810c1035e3046fa387ba339', 'fd557a3f3516f8d1eb4b1466a7671206', '9e21df64419500ac06b210def7dddfb5', 'd418d40a89b378ca4259548a947eda8f', 'a1ae22b23cd5b2934d664e554046f27c']",Packing,Feminine,e0a7b526dfb83c6073bc73e86b83af3e,diese
bedeuten,bedeutet,Verb,Errands,[],Errands,,f036bdbe663533451462905fdc1af18e,bedeutet
,zimmer,Noun,Hotel,[],Hotel,Neuter,7dbecd9a5ba5042bcf943b3544249f6f,zimmer
,ausweis,Noun,Plans 2,[],Plans-2,Masculine,faa95507022b34a6b9db37c061cae4bb,ausweis
,so,Adverb,Leisure,[],Leisure,,fb93b1727d40b9b5ce9bcb89bc2d41b4,so
,person,Noun,Barbecue,[],Barbecue,Feminine,8ecf4d4a3ce783675688961e44d737f3,person
,es gibt,,Travel,['0f08b8a0cfa8ec28eedb2ed62ebd5ef8'],Travel,,107541428191ed5bf1e425a444a9205a,es gibt
,einen,Determiner,Family 2,"['76443cfe0e3f05570e98e35a330dbfff', '7f78970589f8a9fe95bca610215c051a', '6f9902a2e4d1f353aecc47843c9df6e7', '1064e9fdf75eafe86207caa8a36cb594', '743819fb236e8f66b5be133a6259a953']",Family-2,Masculine,9fd5e36e3610cccd451acba4d29990ca,einen
,bitte,Interjection,Basics 1,['0a91e8728595574a30a7aa4d0072ab96'],Basics-1,,b6744f58825816aa3c3367e6f79ddff1,bitte
,e-mail,Noun,Party,[],Party,Feminine,da0880e23e46abd613c240517c3c4270,e-mail
,drei,Numeral,Market,[],Market,,3fd6fe4d654ddfa56fc5b03cf054f70d,drei
,dem,Determiner,Errands,['c89921e78c6fb1e5017bc66f3cec0aee'],Errands,Masculine,ccacc503fbab964215a09975ded9052f,dem
,seinen,Determiner,Family 3,"['ea162697009a9c78b38033a3fc8eb40f', '9aac75af6c4763cfe75d16b87cc10604', '57e8aed4c315b289686064c402adcbc9', '6b1c28621e623451322c32fc2aa7459d', '4fdaa498ad844fc4c7adf7ddac542751', '2ac4ffe95f75b15d1d99aeebbb8321c7', '713d30d6c7922e90eefdb989d4d9ad56', '0b59f6cdecb914ed8e713bbbab6a7924', '71f5612281d1ecd419cfbe7ae49aaed3', 'df0b0165dae55e3bd922a746d9072e9d', '7b563f860cd0b0f43adf0a79e0188bcb']",Family-3,Masculine,ab6750aee2f31d980e3b5f9f9ecea02b,seinen
,guten tag,,Greetings,[],Greetings,,4ea5ef2da51ff7d70e31a1a77f679ac5,guten tag
,vielleicht,Adverb,Plans 2,[],Plans-2,,d69c6de7b86cd9e9878e8b46765c4613,vielleicht
,hundert,Numeral,Hotel,[],Hotel,,ada7e15e46b4bb18a310e881663bec83,hundert
,seit,Preposition,Errands,[],Errands,,3357a4305604eab345a291ada294ca37,seit
,august,Noun,Plans 2,[],Plans-2,Masculine,4c8657f28d96d392f59d53ca22ec1ce4,august
,nachste,Adjective,Travel,[],Travel,Feminine,3941af79db1b40678cbb914a79598eb3,nächste
sein,bin,Verb,Family,"['ab6750aee2f31d980e3b5f9f9ecea02b', 'ea162697009a9c78b38033a3fc8eb40f', '9aac75af6c4763cfe75d16b87cc10604', '57e8aed4c315b289686064c402adcbc9', '6b1c28621e623451322c32fc2aa7459d', '2ac4ffe95f75b15d1d99aeebbb8321c7', '713d30d6c7922e90eefdb989d4d9ad56', '0b59f6cdecb914ed8e713bbbab6a7924', '71f5612281d1ecd419cfbe7ae49aaed3', 'df0b0165dae55e3bd922a746d9072e9d', '7b563f860cd0b0f43adf0a79e0188bcb']",Family,,4fdaa498ad844fc4c7adf7ddac542751,bin
,september,Noun,Events,[],Events,Masculine,e1585c02e5fb35bafcfab69a91966c39,september
,kein problem,,Greetings,[],Greetings,,f4d540efb8d387212d74533b7fc4a7c9,kein problem
,visum,Noun,Travel 2,[],Travel-2,Neuter,3a1cd41d095b140e7ea3fd7a938c5ec0,visum
,hier,Adverb,Restaurant,[],Restaurant,,cc1fcd592790c30fa18827ebcc40ed9f,hier
,woche,Noun,Hobbies 2,['718eb58b9bcb2d41d816e6f21ed639c5'],Hobbies-2,Feminine,a79029bd26a5dd9f7fc4faca65470c83,woche
,passfoto,Noun,Errands,['16ecf3dbeb8f04b1c84aee4b01f87330'],Errands,Neuter,c0775d5bc45296d96cc3a9ba6e138ab7,passfoto
,sohn,Noun,Family,[],Family,Masculine,b2e309aa6b5a7c7db86c69d3d35cfac5,sohn
,es tut mir leid,,Greetings,[],Greetings,,1d2fbc06a1998b40c704e9b87e20ee84,es tut mir leid
,ihre,,Errands,"['946e2a221c7c91c9b280738c1c6521a9', '8da299f8205c5f23f09ca241db7bd3f0', 'ec1f819e146b31f8d1d3c5dfe4b5031e', 'a732d6874b29e652969729941a91e7a3', 'b0f5cfb71b30a379b468283a7851efb4', '319885bbe0fd73a21d979624d96cb748', '5aac8b732e3beae17e847734ad19fdb1']",Errands,,92f12c8ce6506f3ec2428e22eeb3d196,ihre
,fragen,Noun,Errands,['35106ae57d9876f1212e6db991e55db9'],Errands,Feminine,e6536c3c5b659750d8e087cc58712818,fragen
,geburtsort,Noun,Errands,[],Errands,Masculine,3ba4b6aabef8cfad95dad84e65293970,geburtsort
beantworten,beantworte,Verb,Errands,[],Errands,,8929035c1c6d7352531f8648acf26e3e,beantworte
verlängern,verlangern,Verb,Errands,['7b0db76dd45b12ac11a3036eb22e6a86'],Errands,,fe731dcd61078ac65e5b39453d41c70e,verlängern
verlängern,verlangert,Verb,Errands,['fe731dcd61078ac65e5b39453d41c70e'],Errands,,7b0db76dd45b12ac11a3036eb22e6a86,verlängert
,dir,Pronoun,Errands,"['f5078ce94c2d3b09c6e25aef99d6ccaa', 'c76b4333fe84d57cce3a1e3c4101d21b']",Errands,,96dad2a0d2a63eae1f72044db85e6241,dir
,abendessen,Noun,Roommate,[],Roommate,Neuter,2cebe02e32c4da664d47765a435d5d35,abendessen
,allein,Adverb,Housing,[],Housing,,616f8b744b51af74aa85d7819ff6f6df,allein
,zur bank,,Errands,[],Errands,,d5f3f55359eb1a0817b5452b019051d9,zur bank
,zur botschaft,,Errands,[],Errands,,1c8ed356ad403746636703c2b035d219,zur botschaft
,kuchen,Noun,Groceries,[],Groceries,Masculine,bb5d0cdaed2d4a0ab83148a054ea225b,kuchen
,doner,Noun,Market,[],Market,Masculine,7f5f16c8cc816ab3ebd1b398afdfa42e,döner
,kinder,Noun,Family 3,['44b59592f946f8a7855a7571eb52e8d0'],Family-3,Neuter,93ca86123b39f30cb4be65315203dd8e,kinder
,morgen,Noun,Leisure,['cd24c3d0a7bcacef0606e1d9b145a4fe'],Leisure,Masculine,37d199df61f4fab028ca7eead71f216c,morgen
,leider,Adverb,Hobbies 2,[],Hobbies-2,,0354b14665d3157a461d2386bcbf2b43,leider
,viel zu tun,,Errands,[],Errands,,329499b627a833d407b21be7ffcd3b47,viel zu tun
,wann,Adverb,Plans,[],Plans,,0142583ae62e71f82f0de7fedb3b925d,wann
,heute abend,,Plans,[],Plans,,7102e007a8a9347c7f9023b4bb3cf385,heute abend
,aber,Conjunction,Jobs,[],Jobs,,de27feb6c011a3108fd461fb2e1c00fa,aber
mögen,mochtest,Verb,Plans,"['80d14006256295d3d98b1a0d52cbbd81', 'de7cc64f2f73345c893d3de9bf662804', 'c9f50c8a4faca3e35534e2e4093857e1', '4635584da9ff676724eca4ade50daa8b', '9512cc06f50a793c60f9fe22c313a24a', '8cb8f187613a439fd2964ab5515a66c3']",Plans,,943b1d3eca0734f84a2b57d943b86c27,möchtest
,zum mittagessen,,Habits,[],Habits,,35feb8003251c96830a75fb2cf3df56c,zum mittagessen
schwimmen,schwimmen,Verb,Plans,"['5b5e596558196de3e4fc1796ee5d47a6', 'a3159b96570ab1e1e1e54807144ce972', '0c7382e74dcbebdcd9c9dd4e6fd77a13']",Plans,,ea2751a89977abcd2863105f73dd548a,schwimmen
haben,habe,Verb,Family 2,"['868e33555cb34d2f50ef702111cfd58b', 'e15f13f230d129ce73b482d92222ae79', '5fa1f0fcc3b5d93b8617169e59884367', '9780135201a381516d9c84324771e811']",Family-2,,bc132fa899e138377a3d89eb3125a2f1,habe
,den,Determiner,Apartment,['ccacc503fbab964215a09975ded9052f'],Apartment,Masculine,c89921e78c6fb1e5017bc66f3cec0aee,den
,club,Noun,Roommate,[],Roommate,Masculine,0155ea7d942f8a5b49303edd906ae3f0,club
mitkommen,mitkommen,Verb,Plans 3,[],Plans-3,,b7e75e18fd3f4a95d78a138ac1862719,mitkommen
,nachher,Adverb,Errands,[],Errands,,776c91fb6ca9057be892417cdfe5c379,nachher
,heute,Adverb,Weather,[],Weather,,126bfd4d5309344dad18a8bc6668e260,heute
,essen,Noun,Restaurant,"['5ac6336de0f683c21074570627e9410b', '20dde14c9907e353804d0de13f198543', 'd0e80d740c4f2d0653951e65952c19d1', 'aa82a48245fe4015d6bc8643ccdf7fa7']",Restaurant,Neuter,3ce312a29fda532fad3af690e26e91e1,essen
kochen,kochen,Verb,Errands,"['b8408e2fc12bf8f1be64f2585bdddc43', 'e0d7f9ce80ee10512d928024c7eb79b8', '56709e26ea6528cc3f85af706a4d0803']",Errands,,976188e6d637a2c014be32fb0541eb9f,kochen
,kuche,Noun,Housing,[],Housing,Feminine,407f3bc44e547df0c758c78df332b7e9,küche
,obst,Noun,Food,[],Food,Neuter,288c96758043d23c2a1a0a08c6360f65,obst
,nichts,Pronoun,Food,[],Food,,a04935c46d211dacd82135d6a8ed291d,nichts
,gern,Adverb,Leisure,[],Leisure,,364a891aa2f99f9d8c71d2ef644f4215,gern
,bei schonem wetter,,Free Time,[],Free-Time,,33925f3fb5af5bcbecd7d6538d7ab7a6,bei schönem wetter
fahren,fahrst,Verb,Habits 2,"['9f219a60dabccb989a0ebc782c89782d', '55934363abfa6db8a0dfd17ab98b5d4e', '85140f779a6d4b9c58f4c4c7df2b1aef', '130ffdd8682cf5b7c79df84f493ed8a8']",Habits-2,,7645a1cabd0cd2e030fa30be181107c8,fährst
spielen,spiele,Verb,Hobbies,"['4238301d1fdce60abe45f161274ddd2d', 'f86cfa0e4690664ea2712d0b14d6b8c2', 'c904c9330abc33b734aa16fb774ffc16']",Hobbies,,598a41cd84310715e45b6192564592a1,spiele
,warmer,Adjective,Free Time,['9bedfadbb97e99acbc655acd4f21e40a'],Free-Time,,370c16f6e45c286d569a58b7de53d8b0,wärmer
,als,,Free Time,[],Free-Time,,61a59b5a51401b3922f3420dad68d132,als
,abends,Adverb,Habits,[],Habits,,887263ca6febb3b95e5852f96be89653,abends
sehen,sehen,Verb,Transport,"['e23a75193507ed70051a82f39fb7abf1', '6740f2bea63a583e9f92a6b00ff0023c', '3c5330a584acc0b713fa4cef4302c2b8']",Transport,,971f40ea009192f8a2b38914eb6be3b9,sehen
,spater,Adverb,Dining Out,[],DiningOut,,7f5c89a9793fdc0c6e0ef710cdbef130,später
,schweiz,Proper noun,Free Time,[],Free-Time,Feminine,60bbc960f87899826f2d9df2ad0f4f91,schweiz
,videospiele,Noun,Hobbies 2,[],Hobbies-2,Neuter,4dbad715d2928aa3315b3a3296ccd42e,videospiele
,tage,Noun,Free Time,[],Free-Time,Masculine,b1071c608163916a1833758252a23288,tage
,den ganzen tag,,Habits 2,[],Habits-2,,aa8a17b4ddd68934ea1c8340ffb15a22,den ganzen tag
,dokufilme,Noun,Free Time,[],Free-Time,Masculine,26a881820feee2eea901603b8b89441b,dokufilme
,es,Pronoun,Weather,[],Weather,Neuter,ef42b6de85f599db82787f8e0241922f,es
,turkei,Proper noun,Free Time,[],Free-Time,Feminine,3bec5a4d20305e991e88ecaac66a6e07,türkei
,picknick,Noun,Birthday,[],Birthday,Neuter,e83c31dd9f4b195ec39366e2f54529ad,picknick
,fahrrad,Noun,Habits 2,[],Habits-2,Neuter,f185d22c9cb76429abc3e71d3112332e,fahrrad
,jetzt,Adverb,Weather,[],Weather,,92d5543546c3f99c33a3defda45f6fdb,jetzt
,kollegen,Noun,Habits,['d3e7c565e9459bdd03fc97c14789b8ba'],Habits,Masculine,910a39a805d45bac1d6f54b683f136d4,kollegen
,spazieren gehen,,Free Time,[],Free-Time,,b7cc03f4f210c2b395a561e8b2dcdfae,spazieren gehen
,mama,Noun,On Break,[],On-Break,Feminine,1b97f59e4f1e40ef9c1916a7984bc996,mama
,in die bar,,New Job,[],New-Job,,b9fe2d437eec085937d3e57253ae27c5,in die bar
spielen,spielst,Verb,Hobbies,"['4238301d1fdce60abe45f161274ddd2d', '598a41cd84310715e45b6192564592a1', 'f86cfa0e4690664ea2712d0b14d6b8c2']",Hobbies,,c904c9330abc33b734aa16fb774ffc16,spielst
,richtig,Adjective,Travel 2,[],Travel-2,,4b72b7a370a938d223db525f293e189d,richtig
,zwolf,Numeral,Transport,[],Transport,,3ca632bcf35f9b42126f4c6366eda08d,zwölf
,hurra,Interjection,Health,[],Health,,8bb9f2a4239965416eb6d97d03d1cb99,hurra
,meinen,Determiner,Free Time,[],Free-Time,,9fa1b54f06676ccd2f5fcf7b92c4b5aa,meinen
,nach der arbeit,,Free Time,[],Free-Time,,aace837546ca0218e583c7c3a2b4bb4b,nach der arbeit
regnen,regnet,Verb,Weather,[],Weather,,469cda8ba3dde8049dfedb99bed39f06,regnet
,tennis,Noun,Hobbies 2,[],Hobbies-2,Neuter,863f30887bc04b3a21dd24d1ed434c54,tennis
,eltern,Noun,People,[],People,,22834292984240157eba451eec1c6a70,eltern
,badeanzug,Noun,Packing,[],Packing,Masculine,9fbcd6a264a6bb3124824abda9174adb,badeanzug
,zu,Adverb,Restaurant,[],Restaurant,,c2f732617000aad343ea402afeb14bb1,zu
,urlaub,,Leisure,['52b4b04520701864f40d9159cf47826f'],Leisure,,d049c321fc61986dda6e0739305b42f9,urlaub
,bald,Adverb,New Job,[],New-Job,,07e86984fee5b54ab2711988c9a05c80,bald
,viele,Adjective,Languages,['b871e7f7be5a8d1b675d8d746beb5793'],Languages,,7a04eddb8bb4d557d64fafb55a295937,viele
,ein paar,Adverb,Free Time,[],Free-Time,,17fd25af772a0222eb5c94aa644f5d89,ein paar
,bar,Noun,Basics 2,['3e415b96f79d16191df060468c4b1a59'],Basics-2,Masculine,f38c02b7c9efbffab9d50333675d1268,bär
,schon,Adjective,Basics 2,[],Basics-2,,32adefbdac9e469e79191a8646734a2a,schön
,sehr,Adverb,Family,[],Family,,92c6c378bcabe0d66a10ff9cbca6b30b,sehr
,lieber,Adverb,Dining Out,[],DiningOut,,fcedbdaad82446c1371efc0172898dc6,lieber
,am strand,,Free Time,[],Free-Time,,f6403f296b04a5621e2815f727b8b629,am strand
,dort,Adverb,Packing,[],Packing,,114ce26cb931f33a72e208e3a72f9187,dort
,sommer,Noun,Weather,[],Weather,Masculine,da106cca0a662363ff29d60841d88779,sommer
,familie,Noun,Plans 2,[],Plans-2,Feminine,7e9fc7fbfec4d810c81d774dc9aa9b3f,familie
,noch,Adverb,Events,[],Events,,88148adccf9bc8730f8f2c2e1de8a256,noch
,wie,Pronoun,Questions,['fc9672b77c0bcf465099e870117061f0'],Questions,,f606586bf378c284c917941c9181cc2e,wie
,in den ferien,,On Break,[],On-Break,,474bf15dc665cf74bc7204d1b614a6dc,in den ferien
besuchen,besuchen,Verb,Transport,['f84da044eef0c04c965c40eb541c3962'],Transport,,f092c7f86e7451619b46f74912bf2b44,besuchen
,fussball,Noun,Leisure,[],Leisure,Masculine,2969022fc22ce37458188e1433fdc425,fußball
,seinem,Determiner,Barbecue,"['ab6750aee2f31d980e3b5f9f9ecea02b', 'ea162697009a9c78b38033a3fc8eb40f', '9aac75af6c4763cfe75d16b87cc10604', '57e8aed4c315b289686064c402adcbc9', '6b1c28621e623451322c32fc2aa7459d', '4fdaa498ad844fc4c7adf7ddac542751', '2ac4ffe95f75b15d1d99aeebbb8321c7', '713d30d6c7922e90eefdb989d4d9ad56', '0b59f6cdecb914ed8e713bbbab6a7924', '71f5612281d1ecd419cfbe7ae49aaed3', 'df0b0165dae55e3bd922a746d9072e9d']",Barbecue,Masculine,7b563f860cd0b0f43adf0a79e0188bcb,seinem
,u-bahn,Noun,Plans 3,[],Plans-3,Feminine,9e7649e89f6941d1d33e3cb46b95b6c8,u-bahn
,markt,Noun,Directions,[],Directions,Masculine,afc73bf9203ae0a274a4926c19db32af,markt
,park,Noun,Directions,['27495ed8a71d984cbd1a8183b1067a49'],Directions,Masculine,6975d9db52bcf614dd895586090d736e,park
,dein,,Jobs,"['dcbc121aecb08e610c3a08dd5baa7dd0', 'dd697f8e1234efb2cbc33c379f6c9912', '2fdce2ac591b483ad7c5b8b44346ef15', '76488439ef737ef7cf368657d5d3a579', 'b4925b813ecc0a1f9dcf205a258c69e5', 'a2c2a92b69b243135e36c39a9d5a9378']",Jobs,Masculine,95a5b32daf755b8ec21c3fcfc9fed688,dein
,cafe,Noun,Directions,['75032c5252df6be7634cf5433bdc40ce'],Directions,Neuter,1930b34f47a93b1ba9cea96d106424fd,café
,haus,Noun,Family 3,[],Family-3,Neuter,0addc80204530bdc4615a431ec9eeeae,haus
,pferd,Noun,Birthday 2,[],Birthday-2,Neuter,467af75d687188bf2418bb05cdd34881,pferd
,bei schlechtem wetter,,Free Time,[],Free-Time,,11bddb32c4d59802aa3fba3ceda4662e,bei schlechtem wetter
